"Rank","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"255","","Brice Butler","ARI","WR92","9","199","231","210.3","14.6","343.0","+88.0"
"256","","Vernon Davis","WAS","TE29","4","200","225","215.3","9.7","284.0","+28.0"
"257","","Tennessee (TEN)","","DST18","8","200","249","216.7","22.9","191.0","-66.0"
"258","","Robbie Gould","SF","K12","11","200","258","229.0","29.0","178.0","-80.0"
"259","","Brandon Marshall","SEA","WR93","7","200","257","234.7","24.9","281.0","+22.0"
"260","","Chester Rogers","IND","WR94","9","212","213","212.5","0.5","319.0","+59.0"
"261","","Adam Vinatieri","IND","K13","9","215","223","219.0","4.0","248.0","-13.0"
"262","","J.J. Nelson","ARI","WR95","9","201","239","220.0","19.0","345.0","+83.0"
"263","","Tyrod Taylor","CLE","QB29","11","202","261","221.3","23.2","212.0","-51.0"
"264","","Justin Jackson","LAC","RB80","8","214","229","221.5","7.5","338.0","+74.0"
"265","","Trent Taylor","SF","WR96","11","219","224","221.5","2.5","329.0","+64.0"
"266","","Ryan Griffin","HOU","TE30","10","221","228","224.5","3.5","308.0","+42.0"
"267","","Taylor Gabriel","CHI","WR97","5","210","246","224.7","15.4","352.0","+85.0"
"268","","Tampa Bay (TB)","","DST19","5","208","244","226.0","18.0","334.0","+66.0"
"269","","Tyler Boyd","CIN","WR98","9","202","261","227.0","24.9","376.0","+107.0"
"270","","C.J. Prosise","SEA","RB81","7","208","256","227.0","20.8","323.0","+53.0"
"271","","Cole Beasley","DAL","WR99","8","205","254","227.3","20.2","259.0","-12.0"
"272","","Wayne Gallman","NYG","RB82","9","209","246","227.5","18.5","302.0","+30.0"
"273","","Josh Lambo","JAC","K14","9","203","255","229.0","26.0","223.0","-50.0"
"274","","Cairo Santos","NYJ","K15","11","217","244","230.5","13.5","244.0","-30.0"
"275","","Kyle Juszczyk","SF","RB83","11","207","255","231.0","24.0","",""
"276","","New York (NYG)","","DST20","9","207","259","233.0","26.0","271.0","-5.0"
"277","","Joe Flacco","BAL","QB30","10","209","262","233.2","18.1","224.0","-53.0"
"278","","Torrey Smith","CAR","WR100","4","225","242","233.5","8.5","335.0","+57.0"
"279","","Virgil Green","LAC","TE31","8","232","235","233.5","1.5","312.0","+33.0"
"280","","Green Bay (GB)","","DST21","7","204","248","234.5","18.0","236.0","-44.0"
"281","","Gerald Everett","LAR","TE32","12","216","250","235.3","12.3","351.0","+70.0"
"282","","Jake Butt","DEN","TE33","10","233","243","236.7","4.5","215.0","-67.0"
"283","","Cincinnati (CIN)","","DST22","9","232","245","238.5","6.5","320.0","+37.0"
"284","","Graham Gano","CAR","K16","4","225","254","239.0","11.9","260.0","-24.0"
"285","","Tyler Kroft","CIN","TE34","9","216","264","240.0","24.0","363.0","+78.0"
"286","","Josh Allen","BUF","QB31","11","205","276","240.5","35.5","241.0","-45.0"
"287","","Jaron Brown","SEA","WR101","7","238","243","240.5","2.5","367.0","+80.0"
"288","","Jalen Richard","OAK","RB84","7","224","259","241.5","17.5","358.0","+70.0"
"289","","Ed Dickson","SEA","TE35","7","242","243","242.5","0.5","337.0","+48.0"
"290","","Stephen Anderson","HOU","TE36","10","209","289","249.0","40.0","382.0","+92.0"
"291","","Lamar Jackson","BAL","QB32","10","226","298","251.0","33.3","231.0","-60.0"
"292","","Sam Darnold","NYJ","QB33","11","250","252","251.0","1.0","240.0","-52.0"
"293","","Cordarrelle Patterson","NE","WR102","11","249","255","252.0","3.0","322.0","+29.0"
"294","","De'Angelo Henderson","DEN","RB85","10","236","269","252.5","16.5","321.0","+27.0"
"295","","Josh Rosen","ARI","QB34","9","247","261","254.0","7.0","254.0","-41.0"
"296","","Tre'Quan Smith","NO","WR103","6","251","257","254.0","3.0","279.0","-17.0"
"297","","Kalen Ballage","MIA","RB86","11","230","286","258.0","28.0","208.0","-89.0"
"298","","Joe Williams","SF","RB87","11","230","288","259.0","29.0","331.0","+33.0"
"299","","Alfred Blue","HOU","RB88","10","253","271","262.0","9.0","380.0","+81.0"
"300","","Baker Mayfield","CLE","QB35","11","246","296","271.0","25.0","197.0","-103.0"
""
""
